PID,Step,Dispatch,Followed,ResultingOptMakespan,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,Rank
1,0,0.2.0,1,546,0,0,0,1,656,591,622,721,657,49,822,559,3
1,0,1.2.0,0,500,0,0,1,0,656,625,622,665,649,41,756,573,1
1,0,2.1.0,0,497,0,0,0,0,656,625,587,721,650,48,825,537,0
1,0,3.2.0,0,497,0,0,0,0,656,625,619,736,639,49,761,526,0
1,0,4.3.0,0,520,1,0,0,0,656,667,611,721,661,47,817,551,2
1,0,5.3.0,0,520,0,1,0,0,651,625,585,582,641,45,771,520,2
1,1,0.0.96,1,559,0,0,0,1,644,591,651,721,648,41,747,559,1
1,1,1.2.96,0,546,0,0,1,0,656,591,622,662,668,48,782,559,0
1,1,2.1.0,0,546,0,0,0,0,656,710,669,721,654,53,776,559,0
1,1,3.2.96,0,546,0,0,0,0,656,619,619,721,646,45,758,559,0
1,1,4.3.0,0,546,1,0,0,0,656,649,629,721,677,41,772,592,0
1,1,5.3.0,0,559,0,1,0,0,651,591,622,582,652,45,758,559,1
1,2,0.1.192,0,559,0,1,0,0,644,591,643,721,652,48,787,581,0
1,2,1.2.96,0,559,0,0,1,0,644,591,651,662,655,37,750,583,0
1,2,2.1.0,1,559,0,0,0,1,644,591,613,721,636,46,750,559,0
1,2,3.2.96,0,559,0,0,0,0,644,591,610,721,641,50,773,559,0
1,2,4.3.0,0,581,1,0,0,0,644,644,633,721,674,40,792,593,1
1,2,5.3.0,0,559,0,0,0,0,611,591,651,582,624,37,731,559,0
1,3,0.1.192,0,559,0,1,0,0,644,591,591,721,639,42,772,559,0
1,3,1.2.96,0,559,0,0,1,0,644,591,613,662,655,49,775,559,0
1,3,2.2.96,0,559,0,0,0,0,644,591,634,721,636,45,753,559,0
1,3,3.2.96,0,559,0,0,0,0,644,591,613,721,646,51,787,559,0
1,3,4.3.0,1,581,1,0,0,1,644,644,593,721,667,40,765,593,1
1,3,5.3.0,0,559,0,0,0,0,611,591,613,582,618,37,740,559,0
1,4,0.1.192,0,581,0,1,0,0,644,644,652,721,667,37,773,593,0
1,4,1.2.96,0,581,1,0,1,0,644,644,593,662,674,40,787,581,0
1,4,2.2.96,0,581,0,0,0,0,644,644,593,721,670,42,753,596,0
1,4,3.2.96,0,581,0,0,0,0,644,644,593,721,664,39,761,593,0
1,4,4.0.192,1,581,0,0,0,1,644,677,616,721,673,39,792,602,0
1,4,5.3.96,0,581,0,0,0,0,644,644,593,721,667,36,753,593,0
1,5,0.1.192,1,581,0,1,0,1,644,677,616,721,685,39,792,581,0
1,5,1.2.96,0,581,1,0,1,0,644,677,616,662,674,40,792,602,0
1,5,2.2.96,0,581,0,0,0,0,644,677,616,721,681,37,763,593,0
1,5,3.2.96,0,581,0,0,0,0,644,677,616,721,669,36,763,594,0
1,5,4.2.272,0,581,0,0,0,0,644,705,616,721,685,35,752,602,0
1,5,5.3.96,0,581,0,0,0,0,644,671,672,721,679,39,795,581,0
1,6,0.4.268,0,581,0,1,0,0,644,677,616,721,676,37,761,603,0
1,6,1.2.96,0,581,1,0,1,0,644,677,616,662,674,39,774,602,0
1,6,2.2.96,0,581,0,0,0,0,644,677,616,721,679,44,761,594,0
1,6,3.2.96,0,581,0,0,0,0,644,677,616,721,671,36,773,602,0
1,6,4.2.272,0,581,0,0,0,0,644,705,616,721,677,39,774,602,0
1,6,5.3.96,1,581,0,0,0,1,644,671,672,721,677,32,761,596,0
1,7,0.4.268,0,581,0,1,0,0,644,671,672,721,682,38,775,602,0
1,7,1.2.96,0,581,1,0,1,0,644,671,672,662,682,35,774,594,0
1,7,2.2.96,0,581,0,0,0,0,644,729,692,721,685,34,775,610,0
1,7,3.2.96,0,581,0,0,0,0,644,671,672,721,680,39,795,581,0
1,7,4.2.272,1,581,0,0,0,1,644,721,672,721,684,36,752,602,0
1,7,5.0.272,0,593,0,0,0,0,645,671,672,721,681,31,745,608,1
1,8,0.4.268,0,581,0,1,0,0,644,721,672,721,691,33,763,602,0
1,8,1.2.96,0,581,1,0,1,0,644,721,672,662,691,34,736,581,0
1,8,2.2.96,0,581,0,0,0,0,644,677,692,721,688,37,795,602,0
1,8,3.2.96,0,581,0,0,0,0,644,721,672,721,679,37,775,602,0
