PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime
1,0,0,-3,-1,93,0,93,0,0,93,93,0,0,0,0,0,-33,184,-33,184
1,0,0,3,1,-93,0,-93,0,0,-93,-93,0,0,0,0,0,33,-184,33,-184
1,0,0,-3,-1,12,0,12,0,0,12,12,0,0,0,0,0,-54,0,-54,0
1,0,0,3,1,-12,0,-12,0,0,-12,-12,0,0,0,0,0,54,0,54,0
1,0,0,-20,-1,-93,0,-93,0,0,-93,-93,0,0,0,0,0,-73,-96,-73,-96
1,0,0,20,1,93,0,93,0,0,93,93,0,0,0,0,0,73,96,73,96
1,0,0,-20,-1,-53,0,-53,0,0,-53,-53,0,0,0,0,0,92,-96,92,-96
1,0,0,20,1,53,0,53,0,0,53,53,0,0,0,0,0,-92,96,-92,96
1,0,1,-26,-1,0,0,0,0,0,0,0,0,0,0,0,0,40,96,40,96
1,0,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,-40,-96,-40,-96
1,1,1,-13,-1,-93,0,-93,-96,96,-93,-93,96,-96,-96,-1,1,63,-255,-33,-159
1,1,1,13,1,93,0,93,96,-96,93,93,-96,96,96,1,-1,-63,255,33,159
1,1,0,-13,-1,-53,96,43,0,96,43,3,0,0,0,0,1,92,-192,92,-96
1,1,0,13,1,53,-96,-43,0,-96,-43,-3,0,0,0,0,-1,-92,192,-92,96
1,1,1,-13,-1,0,-96,-96,-96,0,-96,-96,96,-96,-96,-1,0,30,25,-66,25
1,1,1,13,1,0,96,96,96,0,96,96,-96,96,96,1,0,-30,-25,66,-25
1,1,1,-13,-1,-81,0,-81,-96,96,-81,-81,96,-96,-96,-1,1,9,-255,-87,-159
1,1,1,13,1,81,0,81,96,-96,81,81,-96,96,96,1,-1,-9,255,87,159
1,1,1,-13,-1,0,-96,-96,-96,0,-96,-96,96,-96,-96,-1,0,136,-63,40,-63
1,1,1,13,1,0,96,96,96,0,96,96,-96,96,96,1,0,-136,63,-40,63
1,2,0,-22,-1,-20,192,172,192,0,172,76,-192,192,192,2,0,-232,88,-40,88
1,2,0,22,1,20,-192,-172,-192,0,-172,-76,192,-192,-192,-2,0,232,-88,40,-88
1,2,0,-22,-1,-93,96,3,0,96,3,0,0,0,0,0,1,-73,-192,-73,-96
1,2,0,22,1,93,-96,-3,0,-96,-3,0,0,0,0,0,-1,73,192,73,96
1,2,1,-22,-1,0,0,0,0,0,0,0,0,0,0,0,0,-106,88,-106,88
1,2,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,106,-88,106,-88
1,2,0,-22,-1,-81,96,15,0,96,15,0,0,0,0,0,1,-127,-192,-127,-96
1,2,0,22,1,81,-96,-15,0,-96,-15,0,0,0,0,0,-1,127,192,127,96
1,2,0,-22,-1,-40,0,-40,0,0,-40,0,0,0,0,0,0,-165,0,-165,0
1,2,0,22,1,40,0,40,0,0,40,0,0,0,0,0,0,165,0,165,0
1,3,1,-22,-1,-20,192,172,192,0,172,76,-96,96,96,2,1,-232,-8,-40,88
1,3,1,22,1,20,-192,-172,-192,0,-172,-76,96,-96,-96,-2,-1,232,8,40,-88
1,3,1,-22,-1,-93,96,3,0,96,3,0,0,0,0,0,1,-73,-192,-73,-96
1,3,1,22,1,93,-96,-3,0,-96,-3,0,0,0,0,0,-1,73,192,73,96
