PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime
1,0,0,-3,-1,93,0,93,0,0,93,93,0,0,0,0,0,-33,184,-33,184
1,0,0,3,1,-93,0,-93,0,0,-93,-93,0,0,0,0,0,33,-184,33,-184
1,0,0,-3,-1,12,0,12,0,0,12,12,0,0,0,0,0,-54,0,-54,0
1,0,0,3,1,-12,0,-12,0,0,-12,-12,0,0,0,0,0,54,0,54,0
1,0,0,-20,-1,-93,0,-93,0,0,-93,-93,0,0,0,0,0,-73,-96,-73,-96
1,0,0,20,1,93,0,93,0,0,93,93,0,0,0,0,0,73,96,73,96
1,0,1,-20,-1,-53,0,-53,0,0,-53,-53,0,0,0,0,0,92,-96,92,-96
1,0,1,20,1,53,0,53,0,0,53,53,0,0,0,0,0,-92,96,-92,96
1,0,0,-26,-1,0,0,0,0,0,0,0,0,0,0,0,0,40,96,40,96
1,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,-40,-96,-40,-96
1,1,0,-9,-1,-12,0,-12,0,0,-12,0,0,0,0,0,0,54,0,54,0
1,1,0,9,1,12,0,12,0,0,12,0,0,0,0,0,0,-54,0,-54,0
1,1,1,-9,-1,-31,-56,-87,-56,0,-87,-34,56,-56,-56,-1,0,148,-159,92,-159
1,1,1,9,1,31,56,87,56,0,87,34,-56,56,56,1,0,-148,159,-92,159
1,1,0,-9,-1,81,0,81,0,0,81,40,0,0,0,0,0,21,184,21,184
1,1,0,9,1,-81,0,-81,0,0,-81,-40,0,0,0,0,0,-21,-184,-21,-184
1,1,0,-9,-1,81,56,137,0,56,137,96,0,0,0,0,1,127,40,127,96
1,1,0,9,1,-81,-56,-137,0,-56,-137,-96,0,0,0,0,-1,-127,-40,-127,-96
1,1,0,-30,-1,-81,0,-81,0,0,-81,-40,0,0,0,0,0,-87,0,-87,0
1,1,0,30,1,81,0,81,0,0,81,40,0,0,0,0,0,87,0,87,0
1,2,0,-30,-1,-93,0,-93,0,0,-93,-6,0,0,0,0,0,-33,0,-33,0
1,2,0,30,1,93,0,93,0,0,93,6,0,0,0,0,0,33,0,33,0
1,2,0,-30,-1,0,0,0,0,0,0,0,0,0,0,0,0,-66,184,-66,184
1,2,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,66,-184,66,-184
1,2,0,-30,-1,-81,0,-81,0,0,-81,-6,0,0,0,0,0,-87,0,-87,0
1,2,0,30,1,81,0,81,0,0,81,6,0,0,0,0,0,87,0,87,0
1,2,0,-30,-1,0,56,56,0,56,56,56,0,0,0,0,1,40,40,40,96
1,2,0,30,1,0,-56,-56,0,-56,-56,-56,0,0,0,0,-1,-40,-40,-40,-96
1,2,1,-30,-1,-49,90,41,90,0,41,41,-90,90,90,2,0,-215,137,-125,137
1,2,1,30,1,49,-90,-41,-90,0,-41,-41,90,-90,-90,-2,0,215,-137,125,-137
1,3,0,-30,-1,-93,0,-93,0,0,-93,0,0,0,0,0,0,-33,0,-33,0
1,3,0,30,1,93,0,93,0,0,93,0,0,0,0,0,0,33,0,33,0
1,3,0,-30,-1,0,0,0,0,0,0,0,0,0,0,0,0,-66,184,-66,184
1,3,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,66,-184,66,-184
1,3,0,-30,-1,-81,0,-81,0,0,-81,0,0,0,0,0,0,-87,0,-87,0
