PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,2,0,-24,-1,16,0,16,0,0,12,0,0,0,16,16,0,0,0,0,0,12,0
1,2,0,24,1,-16,0,-16,0,0,-12,0,0,0,-16,-16,0,0,0,0,0,-12,0
1,2,1,-24,-1,-77,0,-77,-1,-96,-26,96,2,1,-77,-77,0,96,-96,-96,-255,70,0
1,2,1,24,1,77,0,77,1,96,26,-96,-2,-1,77,77,0,-96,96,96,255,-70,0
1,2,0,-24,-1,112,-96,16,-1,-96,-34,0,1,0,16,16,0,96,-96,-96,408,62,0
1,2,0,24,1,-112,96,-16,1,96,34,0,-1,0,-16,-16,0,-96,96,96,-408,-62,0
1,2,0,-24,-1,-65,0,-65,-1,-96,-79,96,2,1,-65,-65,0,96,-96,-96,-255,17,0
1,2,0,24,1,65,0,65,1,96,79,-96,-2,-1,65,65,0,-96,96,96,255,-17,0
1,2,0,-24,-1,-24,0,-24,-1,-96,-145,96,3,1,-24,-24,0,96,-96,-96,-159,-49,0
1,2,0,24,1,24,0,24,1,96,145,-96,-3,-1,24,24,0,-96,96,96,159,49,0
1,3,0,-24,-1,16,0,16,0,0,12,0,0,0,16,16,0,0,0,0,0,12,0
1,3,0,24,1,-16,0,-16,0,0,-12,0,0,0,-16,-16,0,0,0,0,0,-12,0
1,3,1,-24,-1,-36,3,-33,0,3,-26,0,4,0,-33,-33,0,-3,3,3,-22,67,0
1,3,1,24,1,36,-3,33,0,-3,26,0,-4,0,33,33,0,3,-3,-3,22,-67,0
1,3,0,-24,-1,112,-96,16,-1,-96,-34,0,1,0,16,16,0,96,-96,-96,408,62,0
1,3,0,24,1,-112,96,-16,1,96,34,0,-1,0,-16,-16,0,-96,96,96,-408,-62,0
1,3,0,-24,-1,-65,3,-62,-1,-96,-79,99,2,2,-62,-62,0,96,-96,-96,-258,17,0
1,3,0,24,1,65,-3,62,1,96,79,-99,-2,-2,62,62,0,-96,96,96,258,-17,0
1,3,0,-24,-1,-24,0,-24,-1,-96,-145,96,3,1,-24,-24,0,96,-96,-96,-159,-49,0
1,3,0,24,1,24,0,24,1,96,145,-96,-3,-1,24,24,0,-96,96,96,159,49,0
1,4,0,-24,-1,16,0,16,0,0,12,0,0,0,16,16,0,0,0,0,0,12,0
1,4,0,24,1,-16,0,-16,0,0,-12,0,0,0,-16,-16,0,0,0,0,0,-12,0
1,4,1,-24,-1,112,-96,16,-1,-96,-34,0,1,0,16,16,0,96,-96,-96,408,62,0
1,4,1,24,1,-112,96,-16,1,96,34,0,-1,0,-16,-16,0,-96,96,96,-408,-62,0
1,4,0,-24,-1,-65,3,-62,-1,-96,-79,99,2,2,-62,-33,0,96,-96,-96,-258,17,0
1,4,0,24,1,65,-3,62,1,96,79,-99,-2,-2,62,33,0,-96,96,96,258,-17,0
1,4,0,-24,-1,-24,0,-24,-1,-96,-145,96,3,1,-24,-24,0,96,-96,-96,-159,-49,0
1,4,0,24,1,24,0,24,1,96,145,-96,-3,-1,24,24,0,-96,96,96,159,49,0
1,4,0,-15,-1,-8,-47,-55,-1,-47,26,0,0,0,-55,-55,0,47,-47,-47,0,-23,0
1,4,0,15,1,8,47,55,1,47,-26,0,0,0,55,55,0,-47,47,47,0,23,0
1,5,0,-24,-1,16,0,16,0,0,12,0,0,0,16,0,0,0,0,0,0,12,0
1,5,0,24,1,-16,0,-16,0,0,-12,0,0,0,-16,0,0,0,0,0,0,-12,0
1,5,0,-24,-1,-44,96,52,0,96,-34,0,2,2,52,36,0,3,-3,-3,-258,-130,0
1,5,0,24,1,44,-96,-52,0,-96,34,0,-2,-2,-52,-36,0,-3,3,3,258,130,0
1,5,0,-24,-1,-65,3,-62,-1,-96,-79,99,2,2,-62,0,0,96,-96,-96,-258,17,0
1,5,0,24,1,65,-3,62,1,96,79,-99,-2,-2,62,0,0,-96,96,96,258,-17,0
1,5,0,-24,-1,-24,0,-24,-1,-96,-145,96,3,1,-24,0,0,96,-96,-96,-159,-49,0
1,5,0,24,1,24,0,24,1,96,145,-96,-3,-1,24,0,0,-96,96,96,159,49,0
1,5,1,-15,-1,-8,-47,-55,-1,-47,26,0,0,0,-55,-39,0,47,-47,-47,0,-23,0
1,5,1,15,1,8,47,55,1,47,-26,0,0,0,55,39,0,-47,47,47,0,23,0
1,8,0,-96,-1,-10,-96,-106,1,-96,-38,0,0,0,-106,-106,0,96,-96,-96,0,19,0
1,8,0,96,1,10,96,106,-1,96,38,0,0,0,106,106,0,-96,96,96,0,-19,0
1,8,0,-96,-1,-116,-135,-251,-1,-135,-46,0,1,2,-251,-152,0,57,-57,-57,-489,-46,0
1,8,0,96,1,116,135,251,1,135,46,0,-1,-2,251,152,0,-57,57,57,489,46,0
1,8,1,-96,-1,-139,-213,-352,-1,-213,-91,0,2,0,-352,-152,0,117,-117,-117,-375,86,0
1,8,1,96,1,139,213,352,1,213,91,0,-2,0,352,152,0,-117,117,117,375,-86,0
1,8,0,-96,-1,-72,0,-72,-1,-231,-12,231,-1,1,-72,-72,0,135,8,-135,-400,84,0
