PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,0,0,-6,-1,90,0,90,0,0,-307,0,-1,0,90,90,0,0,0,0,252,-307,0
1,0,0,6,1,-90,0,-90,0,0,307,0,1,0,-90,-90,0,0,0,0,-252,307,0
1,0,0,-6,-1,9,0,9,0,0,-328,0,0,0,9,9,0,0,0,0,0,-328,0
1,0,0,6,1,-9,0,-9,0,0,328,0,0,0,-9,-9,0,0,0,0,0,328,0
1,0,0,-6,-1,-50,0,-50,0,0,366,0,-1,0,-50,-50,0,0,0,0,-161,366,0
1,0,0,6,1,50,0,50,0,0,-366,0,1,0,50,50,0,0,0,0,161,-366,0
1,0,0,-49,-1,-40,0,-40,0,0,-165,0,0,0,-40,-40,0,0,0,0,0,-165,0
1,0,0,49,1,40,0,40,0,0,165,0,0,0,40,40,0,0,0,0,0,165,0
1,0,1,-7,-1,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,161,40,0
1,0,1,7,1,0,0,0,0,0,-40,0,-1,0,0,0,0,0,0,0,-161,-40,0
1,1,1,-13,-1,-90,0,-90,-1,-96,241,96,2,1,-90,-90,0,96,-96,-96,-340,337,0
1,1,1,13,1,90,0,90,1,96,-241,-96,-2,-1,90,90,0,-96,96,96,340,-337,0
1,1,0,-13,-1,-9,0,-9,0,0,328,0,0,0,-9,-9,0,0,0,0,0,328,0
1,1,0,13,1,9,0,9,0,0,-328,0,0,0,9,9,0,0,0,0,0,-328,0
1,1,1,-13,-1,0,-96,-96,-1,-96,-66,0,1,0,-96,-96,0,96,-96,-96,8,30,0
1,1,1,13,1,0,96,96,1,96,66,0,-1,0,96,96,0,-96,96,96,-8,-30,0
1,1,1,-13,-1,-40,-96,-136,-1,-96,-125,0,3,0,-136,-96,0,96,-96,-96,-83,-29,0
1,1,1,13,1,40,96,136,1,96,125,0,-3,0,136,96,0,-96,96,96,83,29,0
1,1,1,-1,-1,0,96,96,1,96,-40,0,-3,0,96,96,0,-96,96,96,83,-136,0
1,1,1,1,1,0,-96,-96,-1,-96,40,0,3,0,-96,-96,0,96,-96,-96,-83,136,0
1,2,0,-26,-1,-20,192,172,2,192,-40,0,-2,0,172,76,0,-192,192,192,91,-232,0
1,2,0,26,1,20,-192,-172,-2,-192,40,0,2,0,-172,-76,0,192,-192,-192,-91,232,0
1,2,0,-26,-1,-90,96,6,0,0,201,96,-1,1,6,0,0,0,0,0,-257,201,0
1,2,0,26,1,90,-96,-6,0,0,-201,-96,1,-1,-6,0,0,0,0,0,257,-201,0
1,2,1,-26,-1,0,0,0,0,0,-106,0,-2,0,0,0,0,0,0,0,91,-106,0
1,2,1,26,1,0,0,0,0,0,106,0,2,0,0,0,0,0,0,0,-91,106,0
1,2,0,-26,-1,-81,96,15,0,0,-127,96,-1,1,15,0,0,0,0,0,-257,-127,0
1,2,0,26,1,81,-96,-15,0,0,127,-96,1,-1,-15,0,0,0,0,0,257,127,0
