PID,Step,Followed,ResultingOptMakespan,Rank,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmin,phi.RNDmean,phi.RNDmax,phi.RNDstd
1,0,1,-1,-1,58,59,0,18,-2,-5,38,3
1,0,1,1,1,-58,-59,0,-18,2,5,-38,-3
1,0,1,-1,-1,2,59,0,12,1,-5,40,5
1,0,1,1,1,-2,-59,0,-12,-1,5,-40,-5
1,0,1,-1,-1,98,105,0,2,32,10,57,-2
1,0,1,1,1,-98,-105,0,-2,-32,-10,-57,2
1,0,1,-1,-1,-5,59,-45,56,-5,-22,18,3
1,0,1,1,1,5,-59,45,-56,5,22,-18,-3
1,0,1,-3,-1,-38,-59,0,-17,-4,-7,-46,2
1,0,1,3,1,38,59,0,17,4,7,46,-2
1,1,1,-3,-1,9,0,0,-43,-9,-3,43,14
1,1,1,3,1,-9,0,0,43,9,3,-43,-14
1,1,1,-3,-1,53,54,0,-8,-4,8,11,1
1,1,1,3,1,-53,-54,0,8,4,-8,-11,-1
1,1,1,-3,-1,102,0,0,-2,-4,-4,35,11
1,1,1,3,1,-102,0,0,2,4,4,-35,-11
1,1,1,-3,-1,8,37,38,-13,-1,3,-7,1
1,1,1,3,1,-8,-37,-38,13,1,-3,7,-1
1,1,1,-3,-1,100,-51,-45,-51,-9,-27,-45,2
1,1,1,3,1,-100,51,45,51,9,27,45,-2
1,3,0,-1,-1,9,-3,46,-99,-39,-14,-44,-5
1,3,0,1,1,-9,3,-46,99,39,14,44,5
1,3,0,-1,-1,0,51,46,-4,-39,-4,-13,-1
1,3,0,1,1,0,-51,-46,4,39,4,13,1
1,3,1,-1,-1,0,34,84,-14,-2,-9,-57,-13
1,3,1,1,1,0,-34,-84,14,2,9,57,13
1,3,0,-1,-1,0,94,46,-93,-39,-30,-54,-4
1,3,0,1,1,0,-94,-46,93,39,30,54,4
1,3,0,-1,-1,-28,-3,46,-6,-40,-21,-44,-7
1,3,0,1,1,28,3,-46,6,40,21,44,7
1,4,0,-1,-1,63,51,48,-47,-40,-5,0,6
1,4,0,1,1,-63,-51,-48,47,40,5,0,-6
1,4,0,-1,-1,54,51,48,9,-7,-7,9,3
1,4,0,1,1,-54,-51,-48,-9,7,7,-9,-3
1,4,0,-1,-1,0,5,48,2,-11,-3,2,1
1,4,0,1,1,0,-5,-48,-2,11,3,-2,-1
1,4,0,-1,-1,54,51,48,-30,-39,-18,-6,3
1,4,0,1,1,-54,-51,-48,30,39,18,6,-3
1,4,1,-1,-1,26,51,48,-34,0,-12,5,2
1,4,1,1,1,-26,-51,-48,34,0,12,-5,-2
1,5,1,-1,-1,57,51,48,20,-2,-8,-1,3
1,5,1,1,1,-57,-51,-48,-20,2,8,1,-3
1,5,0,-1,-1,-28,51,48,-85,2,-3,36,2
1,5,0,1,1,28,-51,-48,85,-2,3,-36,-2
1,5,0,-1,-1,51,58,48,-30,1,5,3,3
1,5,0,1,1,-51,-58,-48,30,-1,-5,-3,-3
1,5,0,-1,-1,51,51,48,-71,-35,-20,-29,0
1,5,0,1,1,-51,-51,-48,71,35,20,29,0
1,5,0,-50,-1,-20,-17,-13,27,-9,-6,-5,-6
1,5,0,50,1,20,17,13,-27,9,6,5,6
1,6,1,-38,-1,89,0,0,-54,0,4,39,7
1,6,1,38,1,-89,0,0,54,0,-4,-39,-7
1,6,0,-38,-1,89,0,0,48,2,13,42,4
1,6,0,38,1,-89,0,0,-48,-2,-13,-42,-4
1,6,0,-38,-1,89,-46,0,0,3,10,4,2
1,6,0,38,1,-89,46,0,0,-3,-10,-4,-2
1,6,0,-38,-1,-9,0,0,-5,-32,-14,-4,1
1,6,0,38,1,9,0,0,5,32,14,4,-1
1,6,0,-13,-1,-89,34,35,-48,-13,-6,-48,-2
1,6,0,13,1,89,-34,-35,48,13,6,48,2
1,7,0,-38,-1,-3,0,0,35,2,18,3,1
1,7,0,38,1,3,0,0,-35,-2,-18,-3,-1
1,7,1,-38,-1,42,7,0,-3,2,15,-38,2
1,7,1,38,1,-42,-7,0,3,-2,-15,38,-2
1,7,0,-38,-1,-56,0,0,-60,-36,-14,-13,5
1,7,0,38,1,56,0,0,60,36,14,13,-5
1,7,0,-2,-1,53,-11,45,57,-2,-15,46,0
1,7,0,2,1,-53,11,-45,-57,2,15,-46,0
1,7,0,-11,-1,-50,-8,-10,-12,-11,9,-46,-4
1,7,0,11,1,50,8,10,12,11,-9,46,4
1,8,0,-38,-1,42,0,0,133,-4,16,41,5
1,8,0,38,1,-42,0,0,-133,4,-16,-41,-5
1,8,1,-38,-1,-56,0,0,87,-37,-14,49,4
1,8,1,38,1,56,0,0,-87,37,14,-49,-4
1,8,0,-2,-1,-40,-2,45,-44,-2,-19,-45,-4
1,8,0,2,1,40,2,-45,44,2,19,45,4
1,8,0,-2,-1,90,0,1,0,-1,8,44,7
1,8,0,2,1,-90,0,-1,0,1,-8,-44,-7
1,8,0,-9,-1,-92,-10,-11,42,-6,5,-41,-4
1,8,0,9,1,92,10,11,-42,6,-5,41,4
1,9,0,-38,-1,7,-37,-41,-5,-38,-12,5,-2
1,9,0,38,1,-7,37,41,5,38,12,-5,2
1,9,0,-38,-1,-9,0,0,-11,5,3,-1,-3
1,9,0,38,1,9,0,0,11,-5,-3,1,3
1,9,0,-38,-1,36,0,0,94,0,-3,40,2
1,9,0,38,1,-36,0,0,-94,0,3,-40,-2
1,9,1,-38,-1,-9,-53,-86,4,-33,-31,-47,-10
1,9,1,38,1,9,53,86,-4,33,31,47,10
