PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,0,0.2.0,0,461,0,55,0,55,1,0,257,0,2,1,55,55,1,0,0,0,289,257,1507
1,0,1.2.0,0,462,1,45,0,45,1,0,252,0,2,1,45,45,1,0,0,0,289,252,1507
1,0,2.1.0,0,461,0,55,0,55,1,0,249,0,1,1,55,55,1,0,0,0,308,249,1507
1,0,3.2.0,0,461,0,46,0,46,1,0,246,0,2,1,46,46,1,0,0,0,289,246,1507
1,0,4.3.0,0,465,2,55,0,55,1,0,260,0,3,1,55,55,1,0,0,0,300,260,1507
1,0,5.3.0,1,461,0,51,0,51,1,0,243,0,3,1,51,51,1,0,0,0,300,243,1507
1,1,0.2.0,0,461,0,55,0,55,1,0,257,0,2,1,55,55,2,0,0,0,289,257,1456
1,1,1.2.0,0,462,1,45,0,45,1,0,252,0,2,1,45,51,2,0,0,0,289,252,1456
1,1,2.1.0,0,461,0,55,0,55,1,0,249,0,1,1,55,55,2,0,0,0,308,249,1456
1,1,3.2.0,0,461,0,46,0,46,1,0,246,0,2,1,46,51,2,0,0,0,289,246,1456
1,1,4.3.51,0,461,0,55,51,106,1,0,260,51,3,2,106,106,2,0,0,0,249,260,1456
1,1,5.0.51,1,461,0,48,51,99,2,51,243,0,0,1,99,99,2,-51,51,51,306,192,1456
1,2,0.2.0,0,461,0,55,0,55,1,0,257,0,2,1,55,99,3,0,0,51,289,257,1408
1,2,1.2.0,0,462,1,45,0,45,1,0,252,0,2,1,45,99,3,0,0,51,289,252,1408
1,2,2.1.0,0,461,0,55,0,55,1,0,249,0,1,1,55,99,3,0,0,51,308,249,1408
1,2,3.2.0,0,461,0,46,0,46,1,0,246,0,2,1,46,99,3,0,0,51,289,246,1408
1,2,4.3.51,0,461,0,55,51,106,1,0,260,51,3,2,106,106,3,0,0,51,249,260,1408
1,2,5.4.99,1,461,0,50,99,149,3,99,243,0,4,1,149,149,3,-99,99,150,304,144,1408
1,3,0.2.0,0,461,0,55,0,55,1,0,257,0,2,1,55,149,4,0,0,150,289,257,1358
1,3,1.2.0,0,462,1,45,0,45,1,0,252,0,2,1,45,149,4,0,0,150,289,252,1358
1,3,2.1.0,0,461,0,55,0,55,1,0,249,0,1,1,55,149,4,0,0,150,308,249,1358
1,3,3.2.0,0,461,0,46,0,46,1,0,246,0,2,1,46,149,4,0,0,150,289,246,1358
1,3,4.3.51,0,461,0,55,51,106,1,0,260,51,3,2,106,149,4,0,0,150,249,260,1358
1,3,5.1.149,1,461,0,49,149,198,4,149,243,0,1,1,198,198,4,-149,149,299,308,94,1358
1,4,0.2.0,0,461,0,55,0,55,1,0,257,0,2,1,55,198,5,0,0,299,289,257,1309
1,4,1.2.0,0,462,1,45,0,45,1,0,252,0,2,1,45,198,5,0,0,299,289,252,1309
1,4,2.1.0,0,461,0,55,0,55,1,0,249,0,1,2,198,198,5,55,94,244,259,249,1309
1,4,3.2.0,0,461,0,46,0,46,1,0,246,0,2,1,46,198,5,0,0,299,289,246,1309
1,4,4.3.51,0,461,0,55,51,106,1,0,260,51,3,2,106,198,5,0,0,299,249,260,1309
1,4,5.2.198,1,461,0,45,198,243,5,198,243,0,2,1,243,243,5,-198,198,497,289,45,1309
1,5,0.2.0,0,461,0,55,0,55,1,0,257,0,2,2,243,243,6,55,143,442,244,257,1264
1,5,1.2.0,0,462,1,45,0,45,1,0,252,0,2,2,243,243,6,45,153,452,244,252,1264
1,5,2.1.0,0,461,0,55,0,55,1,0,249,0,1,2,198,243,6,55,94,442,259,249,1264
1,5,3.2.0,1,461,0,46,0,46,1,0,246,0,2,2,243,243,6,46,152,451,244,246,1264
1,5,4.3.51,0,461,0,55,51,106,1,0,260,51,3,2,106,243,6,0,0,497,249,260,1264
1,6,0.2.46,0,461,0,55,46,101,1,0,257,46,2,3,243,243,7,55,97,396,198,257,1218
1,6,1.2.46,0,461,0,45,46,91,1,0,252,46,2,3,243,243,7,45,107,406,198,252,1218
1,6,2.1.0,0,461,0,55,0,55,1,0,249,0,1,2,198,243,7,55,94,396,259,249,1218
1,6,3.3.51,1,461,0,46,51,97,2,46,246,5,3,2,97,243,7,0,0,451,249,200,1218
1,6,4.3.51,0,463,1,55,51,106,1,0,260,51,3,2,106,243,7,0,0,451,249,260,1218
1,7,0.2.46,0,461,0,55,46,101,1,0,257,46,2,3,243,243,8,55,97,396,198,257,1172
1,7,1.2.46,0,461,0,45,46,91,1,0,252,46,2,3,243,243,8,45,107,406,198,252,1172
1,7,2.1.0,0,461,0,55,0,55,1,0,249,0,1,2,198,243,8,55,94,396,259,249,1172
1,7,3.0.99,1,461,0,49,99,148,3,97,246,2,0,2,148,243,8,0,51,451,258,154,1172
1,7,4.3.97,0,461,0,55,97,152,1,0,260,97,3,3,152,243,8,0,0,451,203,260,1172
1,8,0.2.46,0,461,0,55,46,101,1,0,257,46,2,3,243,243,9,55,97,396,198,257,1123
1,8,1.2.46,0,461,0,45,46,91,1,0,252,46,2,3,243,243,9,45,107,406,198,252,1123
1,8,2.1.0,0,461,0,55,0,55,1,0,249,0,1,2,198,243,9,55,94,396,259,249,1123
1,8,3.1.198,1,461,0,52,198,250,4,148,246,50,1,2,250,250,9,0,149,451,259,105,1123
1,8,4.3.97,0,461,0,55,97,152,1,0,260,97,3,3,152,243,9,0,0,451,203,260,1123
1,9,0.2.46,0,461,0,55,46,101,1,0,257,46,2,3,243,250,10,55,97,396,198,257,1071
