PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime
1,0,0,-1,-1,10,0,10,0,0,10,10,0,0,0,0,0,5,0,5,0
1,0,0,1,1,-10,0,-10,0,0,-10,-10,0,0,0,0,0,-5,0,-5,0
1,0,0,-1,-1,10,0,10,0,0,10,10,0,0,0,0,0,-3,19,-3,19
1,0,0,1,1,-10,0,-10,0,0,-10,-10,0,0,0,0,0,3,-19,3,-19
1,0,0,-1,-1,1,0,1,0,0,1,1,0,0,0,0,0,-6,0,-6,0
1,0,0,1,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,6,0,6,0
1,0,1,-1,-1,6,0,6,0,0,6,6,0,0,0,0,0,-9,11,-9,11
1,0,1,1,1,-6,0,-6,0,0,-6,-6,0,0,0,0,0,9,-11,9,-11
1,0,0,-3,-1,-10,0,-10,0,0,-10,-10,0,0,0,0,0,-8,-11,-8,-11
1,0,0,3,1,10,0,10,0,0,10,10,0,0,0,0,0,8,11,8,11
1,1,0,-1,-1,10,0,10,0,0,10,4,0,0,0,0,0,5,0,5,0
1,1,0,1,1,-10,0,-10,0,0,-10,-4,0,0,0,0,0,-5,0,-5,0
1,1,0,-1,-1,10,0,10,0,0,10,4,0,0,0,0,0,-3,19,-3,19
1,1,0,1,1,-10,0,-10,0,0,-10,-4,0,0,0,0,0,3,-19,3,-19
1,1,0,-1,-1,1,0,1,0,0,1,0,0,0,0,0,0,-6,0,-6,0
1,1,0,1,1,-1,0,-1,0,0,-1,0,0,0,0,0,0,6,0,6,0
1,1,0,-1,-1,10,51,61,0,51,61,55,0,0,0,0,1,8,-40,8,11
1,1,0,1,1,-10,-51,-61,0,-51,-61,-55,0,0,0,0,-1,-8,40,-8,-11
1,1,1,-1,-1,3,51,54,51,0,54,48,-51,51,51,1,0,-60,17,-9,17
1,1,1,1,1,-3,-51,-54,-51,0,-54,-48,51,-51,-51,-1,0,60,-17,9,-17
1,2,0,-1,-1,10,0,10,0,0,10,0,0,0,0,0,0,5,0,5,0
1,2,0,1,1,-10,0,-10,0,0,-10,0,0,0,0,0,0,-5,0,-5,0
1,2,0,-1,-1,10,0,10,0,0,10,0,0,0,0,0,0,-3,19,-3,19
1,2,0,1,1,-10,0,-10,0,0,-10,0,0,0,0,0,0,3,-19,3,-19
1,2,0,-1,-1,1,0,1,0,0,1,0,0,0,0,0,0,-6,0,-6,0
1,2,0,1,1,-1,0,-1,0,0,-1,0,0,0,0,0,0,6,0,6,0
1,2,0,-1,-1,10,51,61,0,51,61,7,0,0,0,0,1,8,-40,8,11
1,2,0,1,1,-10,-51,-61,0,-51,-61,-7,0,0,0,0,-1,-8,40,-8,-11
1,2,1,-1,-1,5,99,104,99,0,104,50,-99,99,99,2,0,-108,15,-9,15
1,2,1,1,1,-5,-99,-104,-99,0,-104,-50,99,-99,-99,-2,0,108,-15,9,-15
1,3,0,-1,-1,10,0,10,0,0,10,0,0,0,0,0,0,5,0,5,0
1,3,0,1,1,-10,0,-10,0,0,-10,0,0,0,0,0,0,-5,0,-5,0
1,3,0,-1,-1,10,0,10,0,0,10,0,0,0,0,0,0,-3,19,-3,19
1,3,0,1,1,-10,0,-10,0,0,-10,0,0,0,0,0,0,3,-19,3,-19
1,3,0,-1,-1,1,0,1,0,0,1,0,0,0,0,0,0,-6,0,-6,0
1,3,0,1,1,-1,0,-1,0,0,-1,0,0,0,0,0,0,6,0,6,0
1,3,0,-1,-1,10,51,61,0,51,61,0,0,0,0,0,1,8,-40,8,11
1,3,0,1,1,-10,-51,-61,0,-51,-61,0,0,0,0,0,-1,-8,40,-8,-11
