PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin
1,0,0.2.0,0,461,0,590,576,566,570,560,40,680,469
1,0,1.2.0,1,462,1,639,517,566,552,558,47,744,464
1,0,2.1.0,0,461,0,544,576,566,564,577,51,712,467
1,0,3.2.0,0,461,0,606,622,566,554,582,45,711,505
1,0,4.3.0,0,465,2,539,576,566,569,566,42,680,470
1,0,5.3.0,0,461,0,640,576,521,608,543,40,624,464
1,1,0.2.45,0,462,0,597,517,566,517,566,48,666,463
1,1,1.4.45,0,462,0,592,571,566,552,576,44,702,466
1,1,2.1.0,0,462,0,544,517,566,558,573,46,666,466
1,1,3.2.45,1,462,0,542,554,604,547,567,39,657,469
1,1,4.3.0,0,465,1,585,517,566,560,569,39,699,471
1,1,5.3.0,0,462,0,546,466,521,509,543,39,655,462
1,2,0.2.91,0,462,0,554,554,604,593,573,38,653,472
1,2,1.4.45,0,462,0,592,554,604,605,584,38,698,466
1,2,2.1.0,0,462,0,641,554,604,549,575,36,689,505
1,2,3.3.91,1,465,1,547,561,604,547,575,36,660,499
1,2,4.3.0,0,465,1,539,554,604,537,576,40,698,508
1,2,5.3.0,0,462,0,542,512,521,547,558,37,648,472
1,3,0.2.91,0,465,0,555,561,604,593,572,38,656,499
1,3,1.4.45,1,465,0,639,561,604,547,590,37,698,499
1,3,2.1.0,0,465,0,641,508,604,547,569,37,689,499
1,3,3.0.137,0,495,2,555,543,544,547,566,34,684,499
1,3,4.3.0,0,465,0,539,561,604,537,584,37,691,506
1,3,5.3.0,0,466,1,639,564,546,547,575,36,653,505
1,4,0.2.91,0,465,0,547,561,604,594,577,34,694,499
1,4,1.0.94,0,505,3,588,563,559,605,596,31,660,548
1,4,2.1.0,0,465,0,641,561,604,547,583,40,694,506
1,4,3.0.137,1,495,2,542,543,587,547,575,37,688,495
1,4,4.3.0,0,465,0,539,561,604,537,586,37,660,497
1,4,5.3.0,0,466,1,639,565,546,547,582,37,652,499
1,5,0.2.91,0,495,0,554,543,587,594,570,27,640,537
1,5,1.0.186,0,534,2,592,543,586,547,576,32,684,537
1,5,2.1.0,0,495,0,547,543,587,547,572,29,642,537
1,5,3.1.186,0,495,0,591,543,587,547,574,32,646,499
1,5,4.3.0,0,495,0,585,543,587,537,577,31,685,537
1,5,5.3.0,1,499,1,547,552,554,547,571,32,644,499
1,6,0.2.91,0,499,0,592,552,554,547,564,27,644,499
1,6,1.0.186,0,542,1,542,552,545,547,570,30,648,542
1,6,2.1.0,0,499,0,639,552,554,547,570,35,646,499
1,6,3.1.186,0,499,0,639,552,554,547,571,32,646,500
1,6,4.3.137,0,499,0,552,552,554,585,574,31,645,499
1,6,5.0.51,1,499,0,592,552,554,547,575,30,646,539
1,7,0.2.91,0,499,0,554,552,554,591,568,30,644,499
1,7,1.0.186,0,542,1,547,552,545,547,576,29,640,542
1,7,2.1.0,0,499,0,542,552,554,547,572,34,646,499
1,7,3.1.186,0,499,0,601,552,554,547,569,32,646,499
1,7,4.3.137,0,499,0,646,552,554,631,579,34,650,503
1,7,5.4.99,1,499,0,640,552,554,547,575,34,647,507
1,8,0.2.91,0,499,0,542,552,554,554,566,33,650,500
1,8,1.0.186,0,542,1,596,552,545,547,578,28,645,542
1,8,2.1.0,0,499,0,639,552,554,547,571,34,643,499
1,8,3.1.186,0,499,0,639,552,554,547,573,29,640,540
1,8,4.3.137,0,499,0,552,552,554,592,575,30,650,503
1,8,5.1.149,1,499,0,542,553,554,547,564,27,644,542
1,9,0.2.91,0,499,0,592,606,554,554,567,30,646,503
1,9,1.0.186,0,542,1,546,607,591,547,584,31,648,542
1,9,2.1.0,0,499,0,542,606,554,547,566,32,647,503
1,9,3.1.198,0,499,0,639,552,554,547,559,25,640,502
1,9,4.3.137,0,499,0,646,606,554,592,571,29,646,507
1,9,5.2.198,1,499,0,547,553,554,547,572,30,647,542
1,10,0.2.91,0,499,0,547,606,554,554,566,25,646,503
1,10,1.0.186,0,542,1,596,607,545,547,584,29,648,542
1,10,2.1.0,0,499,0,542,606,554,547,569,34,646,500
1,10,3.1.198,1,499,0,542,552,554,547,561,28,646,502
1,10,4.3.137,0,499,0,552,606,554,592,571,29,650,542
1,11,0.2.91,0,499,0,542,552,554,554,561,25,639,502
1,11,1.0.186,0,542,2,639,552,591,547,570,31,646,542
1,11,2.1.0,0,499,0,547,552,554,547,564,31,646,502
1,11,3.4.250,1,502,1,639,552,554,547,567,28,646,503
1,11,4.3.137,0,499,0,646,552,554,592,563,28,646,503
1,12,0.2.91,0,502,0,555,552,554,554,559,24,646,502
1,12,1.0.186,1,542,1,639,552,591,547,567,29,640,542
1,12,2.1.0,0,502,0,547,552,594,547,558,24,640,502
1,12,4.3.137,0,502,0,552,552,554,592,561,26,646,502
1,13,0.2.91,0,542,0,554,552,545,554,562,22,640,542
1,13,1.1.250,1,542,0,640,600,591,547,566,26,640,542
1,13,2.1.0,0,542,0,542,552,591,547,566,31,646,542
1,13,4.3.137,0,542,0,592,552,591,592,565,25,639,542
1,14,0.2.91,0,542,0,555,600,545,554,568,27,646,542
1,14,1.3.302,1,542,0,639,600,591,547,565,27,640,542
1,14,2.1.0,0,542,0,639,600,591,547,562,27,640,542
1,14,4.3.137,0,542,0,546,600,591,592,572,32,640,542
1,15,0.2.91,1,542,0,546,600,591,554,563,20,599,542
1,15,2.1.0,0,542,0,639,600,591,547,562,25,646,542
1,15,4.3.137,0,542,0,592,600,545,592,573,29,640,542
1,16,0.0.240,1,547,1,554,600,600,554,564,22,646,547
